Employee id,Name,Contact,Dept,Email id
127,sweta kumari,9058685995,computer Science,ankit@gmail.com
234,Amrjeet Raj,8006565656,maths,amar@gmail.com
897,Sanket singh,9876565651,physics,sanket@gmail.com
890,Pankaj kr,8847746647,comuter science,pankaj12@gmail.com
990,ziva kumari,7768857857,MCA,zeeva@gmail.com
111,Reena singh,8099485483,computer science,reena@gmail.com
222,sweta singh,9097886896,maths,sk@gmail.com
444,vishal singh,8757705516,chemistry,visal@gmail.com
555,virat singh,9801170791,chemitry,virat@gmail.com
666,Suraj kumar,9068768958,maths,sudhir12@gmail.com
120,ram kumar,8002237844,computer science,ram@gmail.com
344,raju s,968878979,cs,raju@gmail.com
